sensor_id,timestamp,temperature
49807,2023-02-15 00,26
49807,2023-02-15 01,27
49807,2023-02-15 02,26
49807,2023-02-15 03,26
49807,2023-02-15 04,25
49807,2023-02-15 05,25
49807,2023-02-15 06,24
49807,2023-02-15 07,24
49807,2023-02-15 08,24
49807,2023-02-15 09,23
49807,2023-02-15 10,22
49807,2023-02-15 11,21
49807,2023-02-15 12,22
49807,2023-02-15 13,21
49807,2023-02-15 14,21
49807,2023-02-15 15,20
49807,2023-02-15 16,20
49807,2023-02-15 17,22
49807,2023-02-15 18,22
49807,2023-02-15 19,23
49807,2023-02-15 20,19
49807,2023-02-15 21,20
49807,2023-02-15 22,23
49807,2023-02-15 23,24
49807,2023-02-16 00,26
49807,2023-02-16 01,27
49807,2023-02-16 02,26
49807,2023-02-16 03,23
49807,2023-02-16 04,21
49807,2023-02-16 05,20
49807,2023-02-16 06,19
49807,2023-02-16 07,16
49807,2023-02-16 08,15
49807,2023-02-16 09,15
49807,2023-02-16 10,13
49807,2023-02-16 11,13
49807,2023-02-16 12,11
49807,2023-02-16 13,10
49807,2023-02-16 14,10
49807,2023-02-16 15,11
49807,2023-02-16 16,12
49807,2023-02-16 17,14
49807,2023-02-16 18,16
49807,2023-02-16 19,20
49807,2023-02-16 20,21
49807,2023-02-16 21,22
49807,2023-02-16 22,21
49807,2023-02-16 23,23
49807,2023-02-17 00,25
49807,2023-02-17 01,24
49807,2023-02-17 02,23
49807,2023-02-17 03,21
49807,2023-02-17 04,20
49807,2023-02-17 05,19
49807,2023-02-17 06,16
49807,2023-02-17 07,15
49807,2023-02-17 08,13
49807,2023-02-17 09,13
49807,2023-02-17 10,12
49807,2023-02-17 11,12
49807,2023-02-17 12,10
49807,2023-02-17 13,10
49807,2023-02-17 14,10
49807,2023-02-17 15,8
49807,2023-02-17 16,10
49807,2023-02-17 17,12
49807,2023-02-17 18,16
49807,2023-02-17 19,19
49807,2023-02-17 20,19
49807,2023-02-17 21,21
49807,2023-02-17 22,22
49807,2023-02-17 23,25
49807,2023-02-18 00,26
49807,2023-02-18 01,27
49807,2023-02-18 02,26
49807,2023-02-18 03,24
49807,2023-02-18 04,22
49807,2023-02-18 05,20
49807,2023-02-18 06,18
49807,2023-02-18 07,15
49807,2023-02-18 08,13
49807,2023-02-18 09,12
49807,2023-02-18 10,11
49807,2023-02-18 11,10
49807,2023-02-18 12,10
49807,2023-02-18 13,10
49807,2023-02-18 14,8
49807,2023-02-18 15,9
49807,2023-02-18 16,9
49807,2023-02-18 17,12
49807,2023-02-18 18,15
49807,2023-02-18 19,17
49807,2023-02-18 20,19
49807,2023-02-18 21,21
49807,2023-02-18 22,23
49807,2023-02-18 23,24
49807,2023-02-19 00,26
49807,2023-02-19 01,27
49807,2023-02-19 02,28
49807,2023-02-19 03,26
49807,2023-02-19 04,23
49807,2023-02-19 05,22
49807,2023-02-19 06,19
49807,2023-02-19 07,18
49807,2023-02-19 08,16
49807,2023-02-19 09,15
49807,2023-02-19 10,13
49807,2023-02-19 11,12
49807,2023-02-19 12,12
49807,2023-02-19 13,11
49807,2023-02-19 14,10
49807,2023-02-19 15,10
49807,2023-02-19 16,9
49807,2023-02-19 17,12
